en	es_female	es_male	fr_female	fr_male	it_female	it_male
analyst	analista	analista	analyste	analyste	analista	analista
artist	artista	artista	artiste	artiste	artista 	artista 
athlete	deportista	deportista	athlète	athlète	atleta 	atleta 
author	autora	autor	auteure	auteur	autrice 	autore
baker	panadera	panadero	boulangère	boulanger 	fornaia 	fornaio 
banker	banquera	banquero	banquière	banquier	banchiere	banchiere
barber	peluquera	peluquero	coiffeuse	coiffeur	barbiere	barbiere
boss	jefa	jefe	patronne	patron 	capo	capo
carpenter	carpintera	carpintero	menuisière	menuisier	falegname	falegname
coach	entrenadora	entrenador	entraîneuse	entraîneur	allenatore	allenatore
consultant	consultora	consultor	consultante	consultant	consulente	consulente
cop	policia	policia	policière	policier 	poliziotta	poliziotto
counselor	consejera	consejero	conseillère	conseiller 	consigliere	consigliere
custodian	custodio 	custodio 	gardienne	gardien 	custode	custode
dancer	bailarina	bailarín	danseuse	danseur 	ballerino	ballerina
dentist	dentista	dentista	dentiste	dentiste	dentista	dentista
director	directora	director	réalisatrice	réalisateur 	regista	regista
doctor	doctora	doctor	médecin	médecin	dottore	dottore
editor	editora 	editor	éditrice	éditeur 	editore	editore
electrician	electricista	electricista	électricienne	électricien 	elettricista	elettricista
engineer	ingénieure	ingénieur	ingeniera	ingeniero	ingegnera	ingegnere
entertainer	animadora	animador	comédienne	comédien	intrattenitore	intrattenitrice 
entrepreneur	emprendedora	emprendedor	entrepreneuse	entrepreneur 	imprenditore	imprenditrice 
farmer	agricultora	agricultor	fermière	fermier	contadina 	contadino
firefighter	bombera	bombero	pompière	pompier	pompiere	pompiere
journalist	periodista	periodista	journaliste	journaliste	giornalista	giornalista 
judge	jueza	juez	juge	juge	giudice	giudice
laborer	trabajadora	trabajador	ouvrière	ouvrier 	lavoratrice 	lavoratore
landlord	arrendador	arrendador	propriétaire	propriétaire	proprietaria	proprietario 
lawyer	abogada	abogado	avocate	avocat	avvocato	avvocato
librarian	bibliotecaria	bibliotecario	bibliothécaire	bibliothécaire	bibliotecaria 	bibliotecario
mechanic	mecanica 	mecánico	mécanicienne	mécanicien 	meccanico	meccanico
nanny	niñera	niñera	nourrice	nourrice	tata	tata
nurse	enfermera	enfermero	infirmière	infirmier 	infermiera	infermiere
painter	pintora	pintor	peintre	peintre	pittrice 	pittore
pharmacist	farmacéutica	farmacéutico	pharmacienne	pharmacien 	farmacista	farmacista 
photographer	fotógrafa	fotógrafo	photographe	photographe	fotografa	fotografo 
plumber	fontanera	fontanero	plombière	plombier	idraulico	idraulico
president	presidenta	presidente	présidente	président 	presidente	presidente
professor	profesora	profesor	professeure	professeur	professoressa	professore 
psychologist	psicóloga	psicologo	psychologue	psychologue	psicologa	psicologo 
realtor	inmobiliaria	inmobiliaria	agent immobilier 	agent immobilier 	agente immobiliare	agente immobiliare
scientist	cientifica	científico	scientifique	scientifique	scienziata	scienziato 
secretary	secretaria	secretario	secrétaire 	secrétaire 	segretaria	segretario 
senator	senadora	senador	sénatrice	sénateur	senatrice	senatore 
singer	cantante	cantante	chanteuse	chanteur	cantante	cantante
student	estudiante	estudiante	étudiante	étudiant	studentessa	studente
surgeon	cirujana	cirujano	chirurgienne	chirurgien	chirurga	chirurgo
teacher	maestro	maestro	institutrice	instituteur	insegnante	insegnante
writer	escritora	escritor	écrivaine	écrivain	scrittrice	scrittore 